miRNA,p_value,fold_change
hsa-miR-545-3p,0.045575070525864285,4.475028473688316
hsa-miR-548ag,0.02178390417687309,-1.9796800156204044
hsa-miR-548q,0.02357665851547112,3.3663222142458156
hsa-miR-550a-5p,0.0024605598128608916,-1.2175990052746775
hsa-miR-556-3p,0.015581295358513441,2.0132331878719927
hsa-miR-574-3p,0.0033307361535282864,1.0144867186934072
hsa-miR-574-5p,0.013405529877753345,1.448977261000131
hsa-miR-576-3p,0.002653288954018487,-1.1670773275735307
hsa-miR-581,0.0319443948834605,1.0915743878482316
hsa-miR-582-3p,0.02840176164815223,-1.4025144288115272
hsa-miR-584-3p,0.010950875816769949,inf
hsa-miR-590-3p,5.589396446820584e-05,2.3282541734122963
hsa-miR-597-5p,0.023807818060024303,3.2546118267487993
hsa-miR-605-5p,0.0011531777132786226,inf
hsa-miR-618,0.00979074885135185,-1.7554286142686644
hsa-miR-629-5p,0.007199129907991538,-1.1034708267909665
hsa-miR-6503-3p,0.02394576424014523,-2.1454304395215633
hsa-miR-6511a-3p,9.191158922596962e-05,1.4098211704180648
hsa-miR-654-3p,0.002011788756321022,1.177053376758547
hsa-miR-655-3p,0.005663520177737955,2.491140478364635
hsa-miR-656-3p,0.016844289028748568,1.6082950045517799
hsa-miR-664a-3p,0.019099197725177642,1.1153024956601592
hsa-miR-6716-3p,0.043872422213965284,1.8419012554597107
hsa-miR-6738-3p,0.0035301314177783203,1.7401370507981468
hsa-miR-6769b-3p,0.022459214225239624,4.489178962031349
hsa-miR-6780a-5p,0.03580641589796838,-2.9068905956085187
hsa-miR-6784-3p,0.04350494497418258,inf
hsa-miR-6819-3p,0.025483233243766366,1.34577483684173
hsa-miR-6877-5p,0.03351857823865936,-1.0064001867126837
hsa-miR-6878-3p,0.023430103090645776,inf
hsa-miR-6881-3p,0.014652283876453686,inf
hsa-miR-7110-3p,0.0038230651805765837,1.4641695376439603
hsa-miR-7151-5p,0.01126083057148205,inf
hsa-miR-744-3p,7.444746611423545e-05,1.962885176935475
hsa-miR-769-3p,0.01645447649631292,-2.2539214183069585
hsa-miR-7706,0.0009214656356024317,-1.1779675405617547
hsa-miR-7848-3p,0.0008316204709828062,1.438855257194057
hsa-miR-877-3p,0.035512942797025424,3.8856963733393948
hsa-miR-98-3p,5.830360992465052e-06,2.725231701146149
