ID	adj.P.Val	P.Value	logFC	miRNA_ID
hsa-miR-1286	0.9876	0.9674251	0.02245	hsa-miR-1286
hsa-miR-1296-3p	0.9876	0.967814	-0.02096	hsa-miR-1296-3p
hsa-miR-320a	0.9876	0.9691143	-0.03174	hsa-miR-320a
hsa-miR-96-5p	0.9876	0.9696686	-0.0293	hsa-miR-96-5p
hsa-miR-492	0.9876	0.9697323	-0.01207	hsa-miR-492
hsa-miR-513a-5p	0.9876	0.9708682	0.03012	hsa-miR-513a-5p
hsa-miR-491-3p	0.9918	0.9761899	0.01507	hsa-miR-491-3p
hsa-miR-3934-5p	0.9961	0.9839001	0.01861	hsa-miR-3934-5p
hsa-miR-597-5p	0.9961	0.9840393	-0.01492	hsa-miR-597-5p
hsa-miR-222-3p	0.9961	0.9856944	-0.01205	hsa-miR-222-3p
hsa-miR-1271-3p	0.9961	0.9890579	-0.00607	hsa-miR-1271-3p
hsa-miR-1255a	0.9961	0.9890695	-0.00755	hsa-miR-1255a
hsa-miR-380-3p	0.9961	0.991187	0.00837	hsa-miR-380-3p
hsa-miR-153-3p	0.9961	0.9913264	0.00693	hsa-miR-153-3p
hsa-miR-382-5p	0.9961	0.9913293	-0.01025	hsa-miR-382-5p
hsa-miR-520c-3p	0.9961	0.9922966	0.00819	hsa-miR-520c-3p
hsa-miR-325	0.9961	0.9925049	0.00634	hsa-miR-325
hsa-miR-27a-3p	0.9994	0.9969362	-0.00225	hsa-miR-27a-3p
NEG_B	1	1	0	
NEG_G	1	1	0	
